-131.572,55.129	AK	Metlakatla	      1 Metlakatla
-131.596,55.318	AK	Saxman	      1 Saxman
-131.691,55.354	AK	Ketchikan	      1 Ketchikan
-132.377,56.471	AK	Wrangell	      1 Wrangell
-132.401,55.539	AK	Kasaan Village	      1 Kasaan Village
-132.525,55.686	AK	Thorne Bay	      1 Thorne Bay
-132.827,55.208	AK	Hydaburg	      1 Hydaburg
-132.956,56.813	AK	Petersburg	      1 Petersburg Alaska	      1 Petersburg AK
-133.096,55.552	AK	Klawock	      1 Klawock
-133.148,55.476	AK	Craig	      1 City of Craig
-133.947,56.976	AK	Kake	      1 Kake City
-134.58,58.368	AK	Juneau	     50 Juneau	      5 Douglas
-134.584,57.503	AK	Angoon	      1 Angoon
-134.725,58.405	AK	Auke Bay	      1 Auke Bay
-135.208,57.777	AK	Tenakee Springs	      1 Tenakee Springs
-135.335,57.054	AK	Sitka	      4 Sitka	      1 Mount Edgecumbe High	      1 Edgecumbe
-135.444,58.110	AK	Hoonah	      1 Hoonah
-135.445,59.236	AK	Haines	      1 Haines
-135.841,58.424	AK	Gustavus	      1 Gustavus
-135.884,59.404	AK	Klukwan	      1 Klukwan
-136.228,57.961	AK	Pelican	      1 Pelican Village
-139.727,59.547	AK	Yakutat	      1 Yakutat
-141.952,62.982	AK	Northway Village	      1 Northway Village
-142.516,63.137	AK	Tetlin	      1 Tetlin
-142.986,63.337	AK	Tok	      1 Tok Native
-143.346,63.385	AK	Tanacross	      1 Tanacross
-143.722,66.654	AK	Chalkyitsik	      1 Chalkyitsik
-143.967,62.707	AK	Slana	      1 Slana
-144.061,65.826	AK	Circle Village	      1 Circle Village
-144.067,63.660	AK	Dot Lake	      1 Dot Lake
-144.708,63.989	AK	Healy Lake Village	      1 Healy Lake Village
-145.251,66.567	AK	Fort Yukon	      1 Fort Yukon	      1 Ft Yukon
-145.302,62.302	AK	Gakona	      1 Gakona	      1 Copper River Native
-145.312,61.952	AK	Copper Center	      1 Copper Center
-145.533,62.108	AK	Glennallen	      2 Glennallen
-145.538,68.127	AK	Arctic Village	      2 Arctic Village
-145.755,60.541	AK	Cordova	      1 Cordova
-145.814,66.261	AK	Birch Creek Village	      1 Birch Creek Village
-146.348,61.131	AK	Valdez	      1 Valdez
-146.419,67.014	AK	Venetie	      1 Venetie
-147.05,64.674	AK	Eielson AFB	      2 Eielson Air Force Base	      1 Eielson AFB
-147.396,66.359	AK	Beaver Village	      1 Beaver Village
-147.603,64.842	AK	Fort Wainwright	      9 Fort Wainwright	      2 Ft. Wainwright	      1 Ft Wainwright
-147.722,64.845	AK	Fairbanks	    204 Fairbanks	      1 Fairbanks Memorial Hospital AL	      1 Fairbank	      1 Firbanks	      1 Fiarbanks	      1 FairbanksFairbanks
-148.016,64.846	AK	Ester	      1 Ester
-148.951,63.392	AK	Cantwell Village	      1 Cantwell Village
-148.959,63.618	AK	McKinley Park	      1 Denali National	      1 Denali Natl
